Tag,Uhrzeit,0.00
2024-04-01,6:24:59 PM,3.81
2024-04-01,6:30:00 PM,3.48
2024-04-01,6:34:59 PM,3.58
2024-04-01,6:40:00 PM,3.08
2024-04-01,6:45:00 PM,2.45
2024-04-01,6:49:59 PM,1.64
2024-04-01,6:55:00 PM,1.18
2024-04-01,6:59:59 PM,1.19
2024-04-01,7:05:00 PM,0.77
2024-04-01,7:09:59 PM,0.58
2024-04-01,7:15:00 PM,1.34
2024-04-01,7:19:59 PM,1.17
2024-04-01,7:25:00 PM,0.57
2024-04-01,7:30:00 PM,0.38
2024-04-01,7:34:59 PM,0.68
2024-04-01,7:40:00 PM,0.39
2024-04-01,7:44:59 PM,0.09
2024-04-01,7:50:00 PM,0.30
2024-04-01,7:54:59 PM,0.33
2024-04-01,8:00:00 PM,0.01
2024-04-01,8:04:59 PM,0.00
2024-04-01,8:10:00 PM,0.00
2024-04-01,8:15:00 PM,0.00
2024-04-01,8:19:59 PM,0.00
2024-04-01,8:25:00 PM,0.00
2024-04-01,8:29:59 PM,0.00
2024-04-01,8:35:00 PM,0.00
2024-04-01,8:39:59 PM,0.00
2024-04-01,8:45:00 PM,0.00
2024-04-01,8:49:59 PM,0.00
2024-04-01,8:55:00 PM,0.00
2024-04-01,9:00:00 PM,0.00
2024-04-01,9:04:59 PM,0.00
2024-04-01,9:10:00 PM,0.00
2024-04-01,9:14:59 PM,0.00
2024-04-01,9:20:00 PM,0.00
2024-04-01,9:24:59 PM,0.00
2024-04-01,9:30:00 PM,0.00
2024-04-01,9:34:59 PM,0.00
2024-04-01,9:40:00 PM,0.00
2024-04-01,9:45:00 PM,0.00
2024-04-01,9:49:59 PM,0.00
2024-04-01,9:55:00 PM,0.00
2024-04-01,9:59:59 PM,0.00
2024-04-01,10:05:00 PM,0.00
2024-04-01,10:09:59 PM,0.00
2024-04-01,10:15:00 PM,0.00
2024-04-01,10:19:59 PM,0.00
2024-04-01,10:25:00 PM,0.00
2024-04-01,10:30:00 PM,0.00
2024-04-01,10:34:59 PM,0.00
2024-04-01,10:40:00 PM,0.00
2024-04-01,10:44:59 PM,0.00
2024-04-01,10:50:00 PM,0.00
2024-04-01,10:54:59 PM,0.00
2024-04-01,11:00:00 PM,0.00
2024-04-01,11:04:59 PM,0.00
2024-04-01,11:10:00 PM,0.00
2024-04-01,11:15:00 PM,0.00
2024-04-01,11:19:59 PM,0.00
2024-04-01,11:25:00 PM,0.00
2024-04-01,11:29:59 PM,0.00
2024-04-01,11:35:00 PM,0.00
2024-04-01,11:39:59 PM,0.00
2024-04-01,11:45:00 PM,0.00
2024-04-01,11:49:59 PM,0.00
2024-04-01,11:55:00 PM,0.00
2024-04-02,0:00:00 AM,0.00
2024-04-02,0:04:59 AM,0.00
2024-04-02,0:10:00 AM,0.00
2024-04-02,0:14:59 AM,0.00
2024-04-02,0:20:00 AM,0.00
2024-04-02,0:24:59 AM,0.00
2024-04-02,0:30:00 AM,0.00
2024-04-02,0:34:59 AM,0.00
2024-04-02,0:40:00 AM,0.00
2024-04-02,0:45:00 AM,0.00
2024-04-02,0:49:59 AM,0.00
2024-04-02,0:55:00 AM,0.00
2024-04-02,0:59:59 AM,0.00
2024-04-02,1:05:00 AM,0.00
2024-04-02,1:09:59 AM,0.00
2024-04-02,1:15:00 AM,0.00
2024-04-02,1:19:59 AM,0.00
2024-04-02,1:25:00 AM,0.00
2024-04-02,1:30:00 AM,0.00
2024-04-02,1:34:59 AM,0.00
2024-04-02,1:40:00 AM,0.00
2024-04-02,1:44:59 AM,0.00
2024-04-02,1:50:00 AM,0.00
2024-04-02,1:54:59 AM,0.00
2024-04-02,2:00:00 AM,0.00
2024-04-02,2:04:59 AM,0.00
2024-04-02,2:10:00 AM,0.00
2024-04-02,2:15:00 AM,0.00
2024-04-02,2:19:59 AM,0.00
2024-04-02,2:25:00 AM,0.00
2024-04-02,2:29:59 AM,0.00
2024-04-02,2:35:00 AM,0.00
2024-04-02,2:39:59 AM,0.00
2024-04-02,2:45:00 AM,0.00
2024-04-02,2:49:59 AM,0.00
2024-04-02,2:55:00 AM,0.00
2024-04-02,3:00:00 AM,0.00
2024-04-02,3:04:59 AM,0.00
2024-04-02,3:10:00 AM,0.00
2024-04-02,3:14:59 AM,0.00
2024-04-02,3:20:00 AM,0.00
2024-04-02,3:24:59 AM,0.00
2024-04-02,3:30:00 AM,0.00
2024-04-02,3:34:59 AM,0.00
2024-04-02,3:40:00 AM,0.00
2024-04-02,3:45:00 AM,0.00
2024-04-02,3:49:59 AM,0.00
2024-04-02,3:55:00 AM,0.00
2024-04-02,3:59:59 AM,0.00
2024-04-02,4:05:00 AM,0.00
2024-04-02,4:09:59 AM,0.00
2024-04-02,4:15:00 AM,0.00
2024-04-02,4:19:59 AM,0.00
2024-04-02,4:25:00 AM,0.00
2024-04-02,4:30:00 AM,0.00
2024-04-02,4:34:59 AM,0.00
2024-04-02,4:40:00 AM,0.00
2024-04-02,4:44:59 AM,0.00
2024-04-02,4:50:00 AM,0.00
2024-04-02,4:54:59 AM,0.00
2024-04-02,5:00:00 AM,0.00
2024-04-02,5:04:59 AM,0.00
2024-04-02,5:10:00 AM,0.00
2024-04-02,5:15:00 AM,0.00
2024-04-02,5:19:59 AM,0.00
2024-04-02,5:25:00 AM,0.00
2024-04-02,5:29:59 AM,0.00
2024-04-02,5:35:00 AM,0.00
2024-04-02,5:39:59 AM,0.00
2024-04-02,5:45:00 AM,0.00
2024-04-02,5:49:59 AM,0.00
2024-04-02,5:55:00 AM,0.00
2024-04-02,6:00:00 AM,0.00
2024-04-02,6:04:59 AM,0.00
2024-04-02,6:10:00 AM,0.00
2024-04-02,6:14:59 AM,0.00
2024-04-02,6:20:00 AM,0.00
2024-04-02,6:24:59 AM,0.00
2024-04-02,6:30:00 AM,0.00
2024-04-02,6:34:59 AM,0.00
2024-04-02,6:40:00 AM,0.01
2024-04-02,6:45:00 AM,0.04
2024-04-02,6:49:59 AM,0.09
2024-04-02,6:55:00 AM,0.18
2024-04-02,6:59:59 AM,0.44
2024-04-02,7:05:00 AM,0.15
2024-04-02,7:09:59 AM,0.48
2024-04-02,7:15:00 AM,0.43
2024-04-02,7:19:59 AM,0.59
2024-04-02,7:25:00 AM,0.73
2024-04-02,7:30:00 AM,0.82
2024-04-02,7:34:59 AM,0.65
2024-04-02,7:40:00 AM,0.60
2024-04-02,7:44:59 AM,0.65
2024-04-02,7:50:00 AM,0.79
2024-04-02,7:54:59 AM,0.60
2024-04-02,8:00:00 AM,0.47
2024-04-02,8:04:59 AM,0.37
2024-04-02,8:10:00 AM,0.44
2024-04-02,8:15:00 AM,0.53
2024-04-02,8:19:59 AM,1.02
2024-04-02,8:25:00 AM,0.96
2024-04-02,8:29:59 AM,2.10
2024-04-02,8:35:00 AM,1.24
2024-04-02,8:39:59 AM,0.98
2024-04-02,8:45:00 AM,1.52
2024-04-02,8:49:59 AM,2.66
2024-04-02,8:55:00 AM,3.38
2024-04-02,9:00:00 AM,2.30
2024-04-02,9:04:59 AM,2.17
2024-04-02,9:10:00 AM,4.72
2024-04-02,9:14:59 AM,3.28
2024-04-02,9:20:00 AM,2.40
2024-04-02,9:24:59 AM,3.22
2024-04-02,9:30:00 AM,16.02
2024-04-02,9:34:59 AM,9.68
2024-04-02,9:40:00 AM,5.68
2024-04-02,9:45:00 AM,10.44
2024-04-02,9:49:59 AM,11.31
2024-04-02,9:55:00 AM,7.29
2024-04-02,9:59:59 AM,12.90
2024-04-02,10:05:00 AM,12.35
2024-04-02,10:09:59 AM,5.09
2024-04-02,10:15:00 AM,3.96
2024-04-02,10:19:59 AM,9.12
2024-04-02,10:25:00 AM,5.89
2024-04-02,10:30:00 AM,19.21
2024-04-02,10:34:59 AM,16.33
2024-04-02,10:40:00 AM,4.16
2024-04-02,10:44:59 AM,2.64
2024-04-02,10:50:00 AM,19.65
2024-04-02,10:54:59 AM,8.03
2024-04-02,11:00:00 AM,4.91
2024-04-02,11:04:59 AM,12.85
2024-04-02,11:10:00 AM,15.50
2024-04-02,11:15:00 AM,7.40
2024-04-02,11:19:59 AM,14.52
2024-04-02,11:25:00 AM,3.77
2024-04-02,11:29:59 AM,21.17
2024-04-02,11:35:00 AM,13.38
2024-04-02,11:39:59 AM,5.37
2024-04-02,11:45:00 AM,5.19
2024-04-02,11:49:59 AM,21.70
2024-04-02,11:55:00 AM,6.95
2024-04-02,12:00:00 AM,5.62
2024-04-02,12:04:59 AM,17.99
2024-04-02,12:10:00 AM,4.69
2024-04-02,12:14:59 AM,5.56
2024-04-02,12:20:00 AM,8.36
2024-04-02,12:24:59 AM,10.35
2024-04-02,12:30:00 AM,13.86
2024-04-02,12:34:59 AM,19.27
2024-04-02,12:40:00 AM,9.86
2024-04-02,12:45:00 AM,7.94
2024-04-02,12:49:59 AM,12.77
2024-04-02,12:55:00 AM,14.57
2024-04-02,12:59:59 AM,17.73
2024-04-02,1:05:00 PM,5.23
2024-04-02,1:09:59 PM,6.19
2024-04-02,1:15:00 PM,14.56
2024-04-02,1:19:59 PM,11.16
2024-04-02,1:25:00 PM,19.02
2024-04-02,1:30:00 PM,20.58
2024-04-02,1:34:59 PM,6.71
2024-04-02,1:40:00 PM,4.05
2024-04-02,1:44:59 PM,20.33
2024-04-02,1:50:00 PM,11.05
2024-04-02,1:54:59 PM,20.29
2024-04-02,2:00:00 PM,9.06
2024-04-02,2:04:59 PM,5.31
2024-04-02,2:10:00 PM,4.67
2024-04-02,2:15:00 PM,17.54
2024-04-02,2:19:59 PM,19.27
2024-04-02,2:25:00 PM,3.04
2024-04-02,2:29:59 PM,3.09
2024-04-02,2:35:00 PM,4.82
2024-04-02,2:39:59 PM,11.28
2024-04-02,2:45:00 PM,15.27
2024-04-02,2:49:59 PM,17.81
2024-04-02,2:55:00 PM,18.41
2024-04-02,3:00:00 PM,10.92
2024-04-02,3:04:59 PM,16.18
2024-04-02,3:10:00 PM,15.23
2024-04-02,3:14:59 PM,14.65
2024-04-02,3:20:00 PM,14.47
2024-04-02,3:24:59 PM,14.72
2024-04-02,3:30:00 PM,14.86
2024-04-02,3:34:59 PM,16.28
2024-04-02,3:40:00 PM,5.99
2024-04-02,3:45:00 PM,2.95
2024-04-02,3:49:59 PM,3.85
2024-04-02,3:55:00 PM,3.35
2024-04-02,3:59:59 PM,7.25
2024-04-02,4:05:00 PM,14.20
2024-04-02,4:09:59 PM,6.78
2024-04-02,4:15:00 PM,3.16
2024-04-02,4:19:59 PM,3.34
2024-04-02,4:25:00 PM,3.06
2024-04-02,4:30:00 PM,7.01
2024-04-02,4:34:59 PM,11.33
2024-04-02,4:40:00 PM,10.91
2024-04-02,4:44:59 PM,3.34
2024-04-02,4:50:00 PM,2.43
2024-04-02,4:54:59 PM,2.52
2024-04-02,5:00:00 PM,9.46
2024-04-02,5:04:59 PM,8.55
2024-04-02,5:10:00 PM,4.16
2024-04-02,5:15:00 PM,2.77
2024-04-02,5:19:59 PM,3.87
2024-04-02,5:25:00 PM,4.31
2024-04-02,5:29:59 PM,2.40
2024-04-02,5:35:00 PM,2.97
2024-04-02,5:39:59 PM,6.89
2024-04-02,5:45:00 PM,5.16
2024-04-02,5:49:59 PM,3.44
2024-04-02,5:55:00 PM,2.50
2024-04-02,6:00:00 PM,1.76
2024-04-02,6:04:59 PM,1.29
2024-04-02,6:10:00 PM,1.39
2024-04-02,6:14:59 PM,3.93
2024-04-02,6:20:00 PM,4.41
2024-04-02,6:24:59 PM,2.36
2024-04-02,6:30:00 PM,1.60
2024-04-02,6:34:59 PM,1.75
2024-04-02,6:40:00 PM,1.93
2024-04-02,6:45:00 PM,1.75
2024-04-02,6:49:59 PM,1.71
2024-04-02,6:55:00 PM,1.36
2024-04-02,6:59:59 PM,1.32
2024-04-02,7:05:00 PM,1.42
2024-04-02,7:09:59 PM,1.28
2024-04-02,7:15:00 PM,1.05
2024-04-02,7:19:59 PM,0.96
2024-04-02,7:25:00 PM,0.92
2024-04-02,7:30:00 PM,0.76
2024-04-02,7:34:59 PM,0.72
2024-04-02,7:40:00 PM,0.72
2024-04-02,7:44:59 PM,0.58
2024-04-02,7:50:00 PM,0.43
2024-04-02,7:54:59 PM,0.33
2024-04-02,8:00:00 PM,0.48
2024-04-02,8:04:59 PM,0.40
2024-04-02,8:10:00 PM,0.30
2024-04-02,8:15:00 PM,0.15
2024-04-02,8:19:59 PM,0.04
2024-04-02,8:25:00 PM,0.01
2024-04-02,8:29:59 PM,0.00
2024-04-02,8:35:00 PM,0.00
2024-04-02,8:39:59 PM,0.00
2024-04-02,8:45:00 PM,0.00
2024-04-02,8:49:59 PM,0.00
2024-04-02,8:55:00 PM,0.00
2024-04-02,9:00:00 PM,0.00
2024-04-02,9:04:59 PM,0.00
2024-04-02,9:10:00 PM,0.00
2024-04-02,9:14:59 PM,0.00
2024-04-02,9:20:00 PM,0.00
2024-04-02,9:24:59 PM,0.00
2024-04-02,9:30:00 PM,0.00
2024-04-02,9:34:59 PM,0.00
2024-04-02,9:40:00 PM,0.00
2024-04-02,9:45:00 PM,0.00
2024-04-02,9:49:59 PM,0.00
2024-04-02,9:55:00 PM,0.00
2024-04-02,9:59:59 PM,0.00
2024-04-02,10:05:00 PM,0.00
2024-04-02,10:09:59 PM,0.00
2024-04-02,10:15:00 PM,0.00
2024-04-02,10:19:59 PM,0.00
2024-04-02,10:25:00 PM,0.00
2024-04-02,10:30:00 PM,0.00
2024-04-02,10:34:59 PM,0.00
2024-04-02,10:40:00 PM,0.00
2024-04-02,10:44:59 PM,0.00
2024-04-02,10:50:00 PM,0.00
2024-04-02,10:54:59 PM,0.00
2024-04-02,11:00:00 PM,0.00
2024-04-02,11:04:59 PM,0.00
2024-04-02,11:10:00 PM,0.00
2024-04-02,11:15:00 PM,0.00
2024-04-02,11:19:59 PM,0.00
2024-04-02,11:25:00 PM,0.00
2024-04-02,11:29:59 PM,0.00
2024-04-02,11:35:00 PM,0.00
2024-04-02,11:39:59 PM,0.00
2024-04-02,11:45:00 PM,0.00
2024-04-02,11:49:59 PM,0.00
2024-04-02,11:55:00 PM,0.00
